"","thumbName","daoName","platform","totalValueUSD","totalInUSD","totalOutUSD","totalNumMembers","totalNumProposals","totalNumVoters","votersParticipation"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/cryptex.jpeg","Cryptex","6","36307207.482797526","44120621.521687485","7773468.203164553","417","3","11","2.6378896882494005"
"","nftx.png","NFTX","4","34870315.31013756","111523002.87447594","76635033.40661097","3512","261","6","0.17084282460136674"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/idle-finance.png","Idle","6","30102006.70056741","43459610.45926639","13357603.758698963","3232","10","51","1.577970297029703"
"","TheLAO.jpg","The LAO","3","27024031.591668256","51886521.37326325","24862489.781594984","97","159","42","43.29896907216495"
"","airalab.jpg","Airalab","4","24305528.114028737","66389233.71528788","42082618.827658795","13","219","12","92.3076923076923"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/sushiswap.jpeg","Sushi","12","23098306.859015126","171287241.152338","148666163.44228688","52030","268","8611","16.550067268883335"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/decentralgames.eth.png","Decentral Games","11","22201425.323051795","10347060.74198477","10247773.031671572","1622","43","508","31.319358816276203"
"","metacartelventures.jpg","MetaCartel Ventures","2","21638184.487470943","61616519.53234336","39978335.04487204","110","392","73","66.36363636363636"
"","PieDAO.jpg","PieDAO","4","21407964.281528503","95777001.71918249","92063704.7587122","4944","340","53","1.0720064724919094"
"","neptune.jpeg","Neptune DAO","3","12052907.632387629","33947205.87840117","21894298.246013544","73","92","5","6.8493150684931505"
"","decentraland.jpg","Decentraland DAO","4","11619345.049590172","15269615.626345215","3649976.3324573883","9","118","57","100"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/inverse.jpeg","Inverse","6","7230027.41481085","10017829.70816823","2787802.2933574035","2117","26","385","18.186112423240434"
"","MolochDAO.jpg","Moloch","2","6070446.54795244","25841725.64694405","19771279.0989916","107","143","59","55.14018691588785"
"","flamingo.png","Flamingo","3","5468450.370256632","26414541.852128718","20946091.48187209","71","105","17","23.943661971830984"
"","aragon.png","Aragon Trust","4","4804000.550630733","24023098.68320259","19219098.13257186","8","72","5","62.5"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/bprotocol.png","BProtocol","6","2590264.684170472","2590264.684170472","0","1348","0","0","0"
"","necDAO.jpg","necDAO","1","1839338.590842996","4359538.36344129","2586884.032690343","140","36","39","27.857142857142858"
"","","0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6","4","1612881.495193375","3296304.3191146776","1682022.4544593692","5","184","5","100"
"","https://worker.snapshot.org/mirror?img=https%3A%2F%2Fraw.githubusercontent.com%2Fsnapshot-labs%2Fsnapshot-spaces%2Fmaster%2Fspaces%2Fstakewise.eth%2Fspace.png","StakeWise","12","1610287.3526456794","214368309","212759639.45269367","1447","4","159","10.988251554941257"
"","aragon.png","Aragon Network","4","1366401.0244253273","1366401.0244253273","0","6","14","4","66.66666666666667"
"","stackerVentures.jpeg","Stacker Ventures","4","1222711.842661965","2508831.801955753","1540635.3800118999","1290","25","14","1.0852713178294573"
"","daohaus.png","UberHAUS","2","1002390.19167674","1217716.444908159","215326.25323141916","91","33","24","26.373626373626372"
"","governordao.jpg","Governor DAO","4","437270.7070169918","748091.3475985923","310820.6405816006","12","22","10","83.33333333333333"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/conjure.png","Conjure","6","386000.91128521494","386000.91128521494","0","327","0","0","0"
"","ShieldDao.jpg","ShieldDao","4","362123.07368774974","512197.62693373126","150074.5532459815","16","5","8","50"
"","odyssey.png","Odyssy","2","255810.72837947888","255820.72837947888","10","3","5","3","100"
"","metagame.jpg","Metafam","4","99681.44232249151","15550.210742","0","620","25","23","3.7096774193548385"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/gov.dhedge.eth.png","dHEDGE DAO","12","80334.6946282375","188263.1077460782","139603.4366615636","3680","21","209","5.679347826086956"
"","","murziki","4","73352.69783342854","331209.59693928395","257856.89910585544","3","13","2","66.66666666666667"
"","blequity.jpg","blequity","4","70018.4730966506","70018.4730966506","0","7","4","2","28.571428571428573"
"","Curio.jpg","Curio","4","68612.0995297609","764345.9234102324","695733.8238804718","234","48","27","11.538461538461538"
"","trojandao.jpg","Trojan DAO","2","64201.51394409767","93405.03392577835","29203.51998168069","19","33","7","36.8421052631579"
